disturbance,transit_time,angular_width,MPA,avg_speed,final_speed,mass,BX,BZ_GSE,Plasma_Temp,Plasma_Speed,Plasma_flow_long,Alpha_Prot_ratio,flow_pressure
2001-01-10 00:54:00,72,360,107,832,909,1514320517225656,4.1,1,100292,355,-0.2,0.084,2.49
2001-01-20 21:30:00,60,360,71,1507,1264,1.8E+016,-2.8,0.2,100292,309,1.6,0.015,2.49
2001-01-28 15:54:00,63,360,254,916,951,1.2E+016,-1.3,-1.7,51700,351,2.5,0.039,5.07
2001-02-15 13:54:00,106,360,17,625,678,9.1E+015,-0.3,1.5,242707,538,5.7,0.013,0.86
2001-02-28 14:50:00,67.5,232,263,313,345,2400000000000000,-4.6,0.1,310142,504,7.3,0.025,1.77
2001-03-16 03:50:00,78.5,281,312,271,362,1000000000000000,-0.9,0.6,100292,296,0.2,0.022,2.49
2001-03-24 20:50:00,52,360,32,906,1185,6800000000000000,-0.6,-1.9,71629,409,1.2,0.055,1.91
2001-03-25 17:06:00,48,360,19,677,522,3300000000000000,0.4,0.7,67968,395,1.2,0.044,1.1
2001-03-28 12:50:00,59.5,360,186,519,582,3000000000000000,0.1,4.7,24978,609,-0.1,0.018,1.53
2001-03-29 10:26:00,59,360,71,942,965,2800000000000000,1.9,-0.2,34405,497,-1.3,0.069,2.42
2001-04-02 22:06:00,40,244,293,2505,2827,9.2E+015,-3.5,1.3,39366,501,-0.7,0.101,1.59
2001-04-05 17:06:00,47,360,27,1390,1278,1514320517225656,1.2,2,111917,540,-4.9,0.06,2.48
2001-04-06 19:30:00,39,360,147,1270,914,8400000000000000,7.4,0.9,34768,449,-5.4,0.028,1.35
2001-04-10 05:30:00,31.5,360,166,2411,2876,9.1E+015,3.4,-1,150162,561,-0.1,0.051,0.76
2001-04-11 13:32:00,41,360,224,1103,1019,5300000000000000,-4.3,1.4,477124,732,-1.9,0.04,23.46
2001-04-15 14:06:00,57,167,268,1199,994,8.2E+016,0.2,-0.1,28202,487,-2.9,0.016,0.93
2001-04-18 02:30:00,84,360,263,2465,2433,6100000000000000,4.7,11.9,276801,482,3.6,0.012,6.06
2001-04-26 12:30:00,40,360,37,1006,1171,1514320517225656,-1.4,-3.7,97542,432,-2.9,0.037,0.86
2001-05-25 04:06:00,58,91,17,569,765,2400000000000000,-2.7,0.6,318901,556,-0.7,0.04,0.74
2001-06-15 10:31:00,63,119,153,1090,1161,3900000000000000,-0.5,1.1,47889,328,-3.7,0.032,0.95
2001-07-05 03:54:00,75,123,264,437,616,7000000000000000,3.3,4.9,138795,430,3.7,0.052,3.39
2001-08-02 20:53:00,63,95,172,482,725.5,1970000000000000,3.9,-2.6,33152,379,2.1,0.011,1.93
2001-08-09 10:30:00,72,175,255,479,526,3600000000000000,0.6,0.4,48212,370,-2.2,0.044,1.21
2001-08-14 16:01:00,66.5,360,38,618,601,1514320517225656,-2.5,-0.4,153321,453,5.2,0.03,0.65
2001-08-25 16:50:00,50,360,119,1433,1189,7900000000000000,-9.2,-1.5,49570,424,0.3,0.058,6.14
2001-09-11 14:54:00,58,360,59,791,859,6500000000000000,-6.1,-3,150913,389,5.2,0.04,1.57
2001-09-20 19:31:00,72,207,274,446,404,1000000000000000,3.1,2.4,100292,362,-2.2,0.035,2.49
2001-09-24 10:31:00,33,360,142,2402,2580,2.2E+016,-3.5,0.1,44870,429,-2.5,0.085,2.88
2001-09-27 08:06:00,48,138,200,669,931,9.7E+015,-3.6,-4,98397,488,4.1,0.047,1.28
2001-09-28 08:54:00,57.5,360,140,846,785,2E+016,-3.8,0.3,160028,503,-1.3,0.062,0.95
2001-09-29 11:54:00,57,216,26,509,470,1400000000000000,-11.2,-3.9,418117,630,-1.1,0.016,3.6
2001-10-09 11:30:00,52.5,360,184,973,682,1.2E+016,-4.9,4.7,101171,442,2.6,0.039,2.41
